,C,Cr,Co,Mo,W,Ti,Al,Nb,Ta,B,Zr,Hf,V,Re,Ir
5,0.15,8.0,10.0,0.7,10.0,1.0,5.5,0.0,3.0,0.015,0.05,1.5,0.0,0.0,0.0
7,0.0,7.0,7.5,0.6,12.0,1.8,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.003,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,10.0,5.0,0.0,4.0,1.5,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.16,5.0,9.0,1.0,12.0,1.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.16,5.0,9.0,1.0,12.0,1.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.15,8.4,10.0,0.6,10.0,1.0,5.5,0.0,3.3,0.015,0.05,1.45,0.0,0.0,0.0
15,0.0,9.0,0.0,1.0,10.5,1.1,5.775,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
17,0.11,5.5,9.4,0.9,12.0,1.0,5.3,1.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0
18,0.11,5.5,9.4,0.9,12.0,1.0,5.3,1.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0
20,0.215,8.6,10.15,1.75,9.65,2.25,5.4,1.0,0.0,0.012,0.01,0.0,0.0,0.0,0.0
29,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.07,6.0,9.0,0.5,8.0,0.7,5.7,0.0,3.0,0.015,0.05,1.4,0.0,3.0,0.0
33,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0
35,0.0,6.6,9.65,0.6,6.4,1.0,5.6,0.0,6.5,0.0,0.0,0.095,0.0,3.0,0.0
36,0.027,7.0,7.5,1.5,3.5,0.75,6.075,0.0,5.75,0.027,0.0,0.15,0.0,4.5,0.0
41,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0
44,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0
45,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,6.5,0.0,0.0,0.1,0.0,3.0,0.0
46,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0
48,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
53,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
55,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
58,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0
59,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0
75,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0
105,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0
