,C,Cr,Co,Mo,W,Ti,Al,Nb,Ta,B,Zr,Hf,V,Re,Ir,temp,sigma
C,1.0,-0.030686896258217564,0.11293605937952134,-0.07452952895602412,0.20873095036343214,-0.10621013690998943,0.11418524458578762,0.9382905157818637,-0.2608799061869929,0.6912913448085993,0.8966206454096576,-0.06009769867037703,0.05146219542142483,0.050335798006075454,-0.10243998331195267,-0.2096244348227264,0.1804380695052079
Cr,-0.030686896258217564,1.0,0.2511580051521152,0.1819461267097801,-0.3439122573132371,0.791718059806609,-0.10668606485691874,-0.1495068348978437,-0.47895445780335305,-0.03833059691609936,-0.1059050095801671,-0.37036431273434034,0.5470096394408348,-0.8085163919263835,-0.2960136971645948,-0.4885513008179305,0.27161204189691657
Co,0.11293605937952134,0.2511580051521152,1.0,-0.045418319694442086,-0.23822914436255654,0.4358702147361099,-0.4829786605870597,0.09308194879223568,-0.09468418683838152,0.07746797265156252,0.09987954962065342,-0.3966497705581412,0.5668075307801662,0.08588707476014162,0.22197470869225858,-0.11179994270237496,0.07780994869676941
Mo,-0.07452952895602412,0.1819461267097801,-0.045418319694442086,1.0,-0.4905066985478456,0.26822274536342017,0.6897695062128347,-0.2906692145361317,-0.7636125248924375,-0.20967401832649965,-0.22372432177628865,-0.05055908014101852,0.12893958799836902,-0.5575729657789334,-0.04181869679064024,-0.014747639315479821,-0.1462347817134854
W,0.20873095036343214,-0.3439122573132371,-0.23822914436255654,-0.4905066985478456,1.0,-0.7315565416174622,-0.3773640004547959,0.4367456633283117,0.5492306768618412,0.19638347338818196,0.31466702422719695,0.0639545382520909,-0.5998806020059528,0.4104282680176777,0.07802026946677926,0.16720912535282445,0.021129832166865394
Ti,-0.10621013690998943,0.791718059806609,0.4358702147361099,0.26822274536342017,-0.7315565416174622,1.0,-0.057950818959187064,-0.2620923483988122,-0.6100984886735331,-0.22695489589981824,-0.2491324663264989,-0.2549174598834526,0.8694026424599418,-0.6645631189795972,-0.21406282218979075,-0.469062510943522,0.23883257717183543
Al,0.11418524458578762,-0.10668606485691874,-0.4829786605870597,0.6897695062128347,-0.3773640004547959,-0.057950818959187064,1.0,-0.11218026509768339,-0.5485813813346891,-0.04946404492827686,-0.05148026999465014,0.3398421592691779,-0.19784097350795207,-0.36749261478231793,-0.08721610284279428,0.031133579257259725,-0.1552847414588107
Nb,0.9382905157818637,-0.1495068348978437,0.09308194879223568,-0.2906692145361317,0.4367456633283117,-0.2620923483988122,-0.11218026509768339,1.0,-0.029309250779226137,0.6251866551431869,0.8718636424067402,-0.1556331834476368,-0.029419007945993107,0.20145683391493635,-0.06699572028520853,-0.16700912969758983,0.2180865377199933
Ta,-0.2608799061869929,-0.47895445780335305,-0.09468418683838152,-0.7636125248924375,0.5492306768618412,-0.6100984886735331,-0.5485813813346891,-0.029309250779226137,1.0,0.06527127537770634,0.014734694734789174,0.09655507299771676,-0.525303202569967,0.7427893968742316,0.14227518157553953,0.4013272189077024,-0.16093208794360114
B,0.6912913448085993,-0.03833059691609936,0.07746797265156252,-0.20967401832649965,0.19638347338818196,-0.22695489589981824,-0.04946404492827686,0.6251866551431869,0.06527127537770634,1.0,0.7257902411440209,-0.05543712365327846,-0.1483103202873617,0.27014373024782307,-0.059101515222045965,-0.006526077950642753,0.03985610735745851
Zr,0.8966206454096576,-0.1059050095801671,0.09987954962065342,-0.22372432177628865,0.31466702422719695,-0.2491324663264989,-0.05148026999465014,0.8718636424067402,0.014734694734789174,0.7257902411440209,1.0,-0.1524411850056893,-0.136899896185995,0.23224177366566534,-0.05455447255899809,-0.05932448317315808,0.10427552942232532
Hf,-0.06009769867037703,-0.37036431273434034,-0.3966497705581412,-0.05055908014101852,0.0639545382520909,-0.2549174598834526,0.3398421592691779,-0.1556331834476368,0.09655507299771676,-0.05543712365327846,-0.1524411850056893,1.0,-0.32868962282754494,0.24978996266365705,0.055936078473692634,0.1680872963112095,-0.19710936106676552
V,0.05146219542142483,0.5470096394408348,0.5668075307801662,0.12893958799836902,-0.5998806020059528,0.8694026424599418,-0.19784097350795207,-0.029419007945993107,-0.525303202569967,-0.1483103202873617,-0.136899896185995,-0.32868962282754494,1.0,-0.45069592486428917,-0.1176289006694846,-0.46038208606365083,0.2930945559753485
Re,0.050335798006075454,-0.8085163919263835,0.08588707476014162,-0.5575729657789334,0.4104282680176777,-0.6645631189795972,-0.36749261478231793,0.20145683391493635,0.7427893968742316,0.27014373024782307,0.23224177366566534,0.24978996266365705,-0.45069592486428917,1.0,0.28485890629077026,0.46521691141460564,-0.22668997287847822
Ir,-0.10243998331195267,-0.2960136971645948,0.22197470869225858,-0.04181869679064024,0.07802026946677926,-0.21406282218979075,-0.08721610284279428,-0.06699572028520853,0.14227518157553953,-0.059101515222045965,-0.05455447255899809,0.055936078473692634,-0.1176289006694846,0.28485890629077026,1.0,0.1540309054941945,-0.0951288898432684
temp,-0.2096244348227264,-0.4885513008179305,-0.11179994270237496,-0.014747639315479821,0.16720912535282445,-0.469062510943522,0.031133579257259725,-0.16700912969758983,0.4013272189077024,-0.006526077950642753,-0.05932448317315808,0.1680872963112095,-0.46038208606365083,0.46521691141460564,0.1540309054941945,1.0,-0.9118624349491184
sigma,0.1804380695052079,0.27161204189691657,0.07780994869676941,-0.1462347817134854,0.021129832166865394,0.23883257717183543,-0.1552847414588107,0.2180865377199933,-0.16093208794360114,0.03985610735745851,0.10427552942232532,-0.19710936106676552,0.2930945559753485,-0.22668997287847822,-0.0951288898432684,-0.9118624349491184,1.0
