Name,NUM,CBEG,CEND,C,CrBEG,CrEND,Cr,CoBEG,CoEND,Co,MoBEG,MoEND,Mo,WBEG,WEND,W,TiBEG,TiEND,Ti,AlBEG,AlEND,Al,NbBEG,NbEND,Nb,TaBEG,TaEND,Ta,BBEG,BEND,B,ZrBEG,ZrEND,Zr,HfBEG,HfEND,Hf,VBEG,VEND,V,ReBEG,ReEND,Re,RuBeg,RuEnd,Ru,IrBeg,IrEnd,Ir,Mo_n_W,Al_n_Ti,NiBeg,NiEnd,Ni,d750,d760,d800,d816,d850,d870,d900,d926,d940,d950,d982,d1000,d1020,d1030,d1038,d1050,d1093,d1100,d1150,d1200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,760,800,816,850,870,900,926,940,950,982,1000,1020,1030,1038,1050,1093,1100,1150,1200
PWA-1422/DS200+Hf/,1,0.14,0.14,0.14,9,9,9,10,10,10,0,0,0,12,12,12,2,2,2,5,5,5,1,1,1,0,0,0,0.015,0.015,0.015,0.05,0.05,0.05,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,,,59.295,59.295,59.295,,,,,500,,,,,,,,,,,120,,,,
MAR-M200+Hf/MM-009/,2,0.14,0.14,0.14,9,9,9,10,10,10,0,0,0,12.5,12.5,12.5,1.7,1.7,1.7,4.7,4.7,4.7,0,0,0,0,0,0,0.015,0.015,0.015,0.05,0.05,0.05,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,,,60.395,60.395,60.395,,,,,,,,,,,,,,,,,,,,
ЖС30,3,0.15,0.15,0.15,7,7,7,8.5,8.5,8.5,0.7,0.7,0.7,11.8,11.8,11.8,1.9,1.9,1.9,5.2,5.2,5.2,0.9,0.9,0.9,0,0,0,0.015,0.015,0.015,0.05,0.05,0.05,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,62.985,62.985,62.985,,,,,,,,,,,,,,,,,,,,
ЖС26У,4,0.15,0.15,0.15,5,5,5,9,9,9,1.1,1.1,1.1,11.7,11.7,11.7,1,1,1,5.8,5.8,5.8,1.6,1.6,1.6,0,0,0,0.015,0.015,0.015,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64.585,64.585,64.585,,,,,,,,,,,,,,,,,,,,
CM247LC,5,0.15,0.15,0.15,8,8,8,10,10,10,0.7,0.7,0.7,10,10,10,1,1,1,5.5,5.5,5.5,0,0,0,3,3,3,0.015,0.015,0.015,0.05,0.05,0.05,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,,,60.085,60.085,60.085,,,718,662,559,497,392,323,288,269,210,183,155,141,133,121,87,83,,
RENE-N4,10,0.05,0.05,0.05,9,9,9,7.5,8,7.75,1.5,2,1.75,6,6,6,4.2,4.2,4.2,3.7,3.7,3.7,0.5,0.5,0.5,4,4,4,0.004,0.004,0.004,0,0,0,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,,,63.396,62.396,62.896,,,,,,,,,,,211,,,,,,,,,
ЖС-30М/нк/,11,0,0,0,7,7,7,7.5,7.5,7.5,0.6,0.6,0.6,12,12,12,1.8,1.8,1.8,5,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,65.1,65.1,65.1,,,,,,,420,349.33,315.2,292.5,229.27,200,172.86,161.35,153.16,142.54,121.05,120,,
CMSX-2,12,0.003,0.003,0.003,8,8,8,5,5,5,0.6,0.6,0.6,8,8,8,1,1,1,5.6,5.6,5.6,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,65.797,65.797,65.797,,,749,693,580,504,417,355,324,304,250,221,195,184,174,162,124,119,,
CMSX-3,13,0,0,0,7.5,8,7.75,4,5,4.5,0.5,0.6,0.55,7.5,8,7.75,0.9,1,0.95,5.5,5.6,5.55,0,0,0,6,6,6,0,0,0,0,0,0,0.05,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0,0,,,68.05,65.7,66.875,,,,,,,,,,,,,,,,,,,,
