,C,Cr,Co,Mo,W,Ti,Al,Nb,Ta,B,Zr,Hf,V,Re,Ir,temp,sigma
8,0.11,5.5,9.4,0.9,12.0,1.0,5.3,1.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,760,659.45
9,0.11,5.5,9.4,0.9,12.0,1.0,5.3,1.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,760,719.0
22,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,760,620.0
32,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,800,725.0
21,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,760,800.0
33,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,816,670.0
42,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,800,676.0
54,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,800,755.1
40,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,800,480.0
44,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,800,530.0
52,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,800,756.0
60,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,816,443.3
64,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,850,600.0
35,0.0,9.0,0.0,1.0,10.5,1.1,5.775,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,870,476.0
55,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,870,485.0
